,time,open,close,next close,volume,RSI_14,MACD_14_20_9,ADX_14,Buy/Sell
30,2023-04-12 14:00:00,30053.72,30212.36,30024.69,2557.83761,61.0846047464635,6.4891708018003555,28.134742392337785,Buy
31,2023-04-12 14:30:00,30212.37,30024.69,29922.89,2332.14375,48.13062751036182,4.238027876934211,27.788496597586583,Sell
32,2023-04-12 15:00:00,30024.69,29922.89,29964.02,5137.06967,42.82533061132382,-1.4590655006832094,26.95167656966517,Sell
33,2023-04-12 15:30:00,29922.88,29964.02,29991.84,1852.02004,45.44196189286764,-4.34092519042315,26.21111602475395,Sell
34,2023-04-12 16:00:00,29964.03,29991.84,29939.02,1153.35083,47.20206811398686,-5.485736754249956,25.2738076288786,Sell
35,2023-04-12 16:30:00,29991.85,29939.02,30008.12,818.91218,44.281114686260516,-8.32594472011624,24.47527647479637,Sell
36,2023-04-12 17:00:00,29939.02,30008.12,30023.92,1161.84099,48.74926748330533,-7.8149211921409005,23.57117729680522,Sell
37,2023-04-12 17:30:00,30008.12,30023.92,29952.72,904.89617,49.74169132476389,-6.713071997924999,22.024825213744734,Sell
38,2023-04-12 18:00:00,30023.93,29952.72,29917.26,1066.98556,45.468832850637405,-8.476217905979865,21.258994104600465,Sell
39,2023-04-12 18:30:00,29952.73,29917.26,29824.68,1323.45652,43.466236502395915,-11.101970819203416,21.346484356452738,Sell
40,2023-04-12 19:00:00,29917.27,29824.68,29798.59,1034.5461,38.67671308649559,-16.546774267739238,21.797941967753196,Sell
41,2023-04-12 19:30:00,29824.68,29798.59,29885.45,1064.51222,37.4251704896122,-21.599978568428924,22.44473334566858,Sell
42,2023-04-12 20:00:00,29798.59,29885.45,29947.47,640.64357,43.930283776705075,-21.979094593818445,23.032662351024364,Sell
43,2023-04-12 20:30:00,29885.45,29947.47,29944.11,422.42888,48.080602534661104,-19.63460341888276,22.705798408639225,Sell
44,2023-04-12 21:00:00,29947.48,29944.11,29944.12,383.96124,47.873853409931655,-17.674896327185706,22.11115334797827,Sell
45,2023-04-12 21:30:00,29944.12,29944.12,29933.77,375.70755,47.87457181406035,-15.91341303525769,21.798837442152504,Sell
46,2023-04-12 22:00:00,29944.12,29933.77,29841.35,424.82406,47.150265330456854,-14.724397082092764,21.513226928884844,Sell
47,2023-04-12 22:30:00,29933.77,29841.35,29911.84,860.32585,41.1617207148997,-17.125843022531626,22.194729661594106,Sell
48,2023-04-12 23:00:00,29841.35,29911.84,29888.07,654.04607,46.720083786385445,-16.106077229513176,22.81938722298478,Sell
49,2023-04-12 23:30:00,29911.85,29888.07,29949.96,401.62734,45.17045468119088,-16.007453547626938,23.39251568576762,Sell
50,2023-04-13 00:00:00,29888.07,29949.96,29984.69,667.05012,49.835900563837754,-13.36913652027215,23.57328187070174,Sell
51,2023-04-13 00:30:00,29949.96,29984.69,29974.63,774.53133,52.289273259465666,-9.80754651443931,22.56929918579454,Sell
52,2023-04-13 01:00:00,29984.7,29974.63,30065.13,598.67103,51.503521587992196,-7.273505506509537,21.693528104011246,Sell
53,2023-04-13 01:30:00,29974.64,30065.13,30040.68,666.00993,57.66651881815546,-1.7465145509995637,20.076907788978115,Sell
54,2023-04-13 02:00:00,30065.13,30040.68,30116.51,593.67756,55.61037923605465,1.6780975893634604,18.663620344497186,Sell
55,2023-04-13 02:30:00,30040.68,30116.51,30088.51,1161.07273,60.33418582471349,7.230881107814639,18.64743434625921,Sell
56,2023-04-13 03:00:00,30116.51,30088.51,30072.17,552.59215,57.88469357219744,10.426481122503901,18.632507960271486,Sell
57,2023-04-13 03:30:00,30088.52,30072.17,30088.79,471.81369,56.44452561078419,12.1773613737314,18.395610042738376,Sell
58,2023-04-13 04:00:00,30072.17,30088.79,30053.65,490.22455,57.6000481488186,14.028783521538571,18.296834959797504,Sell
59,2023-04-13 04:30:00,30088.79,30053.65,30077.33,305.3899,54.31878443363325,13.963723637167277,18.277354248365803,Sell
60,2023-04-13 05:00:00,30053.65,30077.33,30105.08,310.98919,56.13232602872201,14.637486538791563,18.17420030080361,Sell
61,2023-04-13 05:30:00,30077.34,30105.08,30071.02,422.64526,58.22532457231855,16.03707222306184,18.669623048641512,Sell
62,2023-04-13 06:00:00,30105.08,30071.02,30016.54,691.11794,54.77116320192208,15.63335595361059,18.742463078007727,Sell
63,2023-04-13 06:30:00,30071.03,30016.54,30055.71,1253.41727,49.69303813304257,13.042843755618378,17.8303750738595,Sell
64,2023-04-13 07:00:00,30016.53,30055.71,30068.6,953.05662,53.06258681758552,12.338120301883464,16.926659506967088,Sell
65,2023-04-13 07:30:00,30055.71,30068.6,30071.0,660.80318,54.15091125985414,12.11990070099273,16.636395688453725,Sell
66,2023-04-13 08:00:00,30068.6,30071.0,30188.14,584.22985,54.363088348835994,11.886313893926854,16.367729834216984,Sell
67,2023-04-13 08:30:00,30070.99,30188.14,30246.32,2853.83586,63.29214283003967,16.014691046562803,18.096940091491057,Sell
68,2023-04-13 09:00:00,30188.15,30246.32,30204.85,2781.37356,66.76971732481593,21.264882768835378,20.38511852896534,Sell
69,2023-04-13 09:30:00,30246.32,30204.85,30204.74,1248.76975,62.243295840087704,23.53185998891422,22.129651363665456,Sell
70,2023-04-13 10:00:00,30204.85,30204.74,30203.14,823.15228,62.231244723869914,25.006450253687944,23.74573013255845,Sell
71,2023-04-13 10:30:00,30204.74,30203.14,30202.5,775.93897,62.04307921533788,25.784221664431243,25.44591084888507,Buy
72,2023-04-13 11:00:00,30203.13,30202.5,30159.82,1026.59644,61.962373507498874,26.042293574893847,26.6499127776197,Buy
73,2023-04-13 11:30:00,30202.5,30159.82,30181.07,655.59958,56.66840875902216,24.288054170403484,27.375959468816568,Buy
74,2023-04-13 12:00:00,30159.81,30181.07,30272.14,948.41804,58.56652817791441,23.41361179074738,28.434487703476464,Buy
